Date,2330.TW,3443.TW,2002.TW,2317.TW,2731.TW,3687.TWO
2010-01-04,40.932186126708984,121.20561218261719,17.860475540161133,60.83647918701172,,
2010-01-05,40.67989730834961,118.24935913085938,17.88666534423828,61.238059997558594,,
2010-01-06,40.932186126708984,118.618896484375,17.93903923034668,60.83647918701172,,
2010-01-07,40.49069595336914,118.618896484375,17.8080997467041,60.23414993286133,,
2010-01-08,40.36455535888672,117.51029968261719,18.253299713134766,60.4349365234375,,
2010-01-11,40.67989730834961,117.87985229492188,18.48899269104004,59.63180160522461,,
2010-01-12,40.11227035522461,118.618896484375,18.436620712280273,59.43101501464844,,
2010-01-13,39.60771942138672,117.14078521728516,17.991418838500977,58.427127838134766,,
2010-01-14,39.85999298095703,118.24935913085938,18.27948760986328,60.03336715698242,,
2010-01-15,40.04920959472656,118.618896484375,18.200923919677734,61.238059997558594,,
2010-01-18,39.67079544067383,118.24935913085938,18.017606735229492,60.63570785522461,,
2010-01-19,39.41850662231445,116.7712631225586,17.88666534423828,59.832584381103516,,
2010-01-20,39.733863830566406,116.03218078613281,17.912851333618164,59.23023986816406,,
2010-01-21,39.4815788269043,112.33689880371094,17.8080997467041,58.62789535522461,,
2010-01-22,38.53553771972656,114.92361450195312,17.258142471313477,55.41541290283203,,
2010-01-25,38.09405517578125,114.1845474243164,16.91769027709961,56.01774978637695,,
2010-01-26,37.904842376708984,109.0111312866211,16.760560989379883,54.813079833984375,,
2010-01-27,37.58949279785156,109.38068389892578,16.86531639099121,53.40760803222656,,
2010-01-28,37.84177017211914,110.48925018310547,17.101011276245117,54.612300872802734,,
2010-01-29,38.78781509399414,108.2720947265625,17.022445678710938,54.00994873046875,,
2010-02-01,37.71562576293945,108.2720947265625,16.708189010620117,52.805267333984375,,
2010-02-02,37.2110710144043,102.7291488647461,16.420114517211914,53.80916976928711,,
2010-02-03,37.71562576293945,104.9463119506836,16.760560989379883,55.41541290283203,,
2010-02-04,37.27414321899414,108.64161682128906,16.86531639099121,54.813079833984375,,
2010-02-05,36.07582092285156,103.83772277832031,16.446304321289062,53.20683288574219,,
2010-02-08,36.20195388793945,100.51197052001953,16.629621505737305,53.80916976928711,,
2010-02-09,36.95879364013672,106.42444610595703,16.734373092651367,53.60839080810547,,
2010-02-10,36.8326530456543,104.9463119506836,17.15338897705078,54.00994873046875,,
2010-02-22,37.2110710144043,104.20728302001953,17.28432846069336,54.00994873046875,,
2010-02-23,37.71562576293945,106.05491638183594,17.389081954956055,54.00994873046875,,
2010-02-24,36.89571762084961,108.2720947265625,17.15338897705078,53.20683288574219,,
2010-02-25,36.70651626586914,105.68537139892578,16.94388198852539,51.399803161621094,,
2010-02-26,37.08493423461914,104.57679748535156,16.86531639099121,50.99824142456055,,
2010-03-01,37.58949279785156,105.68537139892578,17.179574966430664,52.40370178222656,,
2010-03-02,37.778709411621094,105.68537139892578,17.23195457458496,53.40760803222656,,
2010-03-03,37.84177017211914,104.20728302001953,17.336708068847656,53.60839080810547,,
2010-03-04,37.33721160888672,104.9463119506836,17.0748233795166,53.60839080810547,,
2010-03-05,38.09405517578125,105.31585693359375,17.336708068847656,53.80916976928711,,
2010-03-08,38.598609924316406,106.42444610595703,17.389081954956055,55.214630126953125,,
2010-03-09,38.66168212890625,104.20728302001953,17.389081954956055,55.41541290283203,,
2010-03-10,38.72474670410156,104.9463119506836,17.520023345947266,55.41541290283203,,
2010-03-11,38.72474670410156,106.42444610595703,17.389081954956055,55.214630126953125,,
2010-03-12,38.346336364746094,104.9463119506836,17.28432846069336,55.214630126953125,,
2010-03-15,37.71562576293945,103.83772277832031,17.127199172973633,53.80916976928711,,
2010-03-16,37.65256118774414,104.20728302001953,17.23195457458496,55.013851165771484,,
2010-03-17,38.15712356567383,106.05491638183594,17.467649459838867,56.01774978637695,,
2010-03-18,38.09405517578125,107.16351318359375,17.362895965576172,56.01774978637695,,
2010-03-19,37.84177017211914,106.42444610595703,17.389081954956055,56.01774978637695,,
2010-03-22,37.2110710144043,105.68537139892578,17.127199172973633,55.013851165771484,,
2010-03-23,37.58949279785156,106.05491638183594,17.04863166809082,55.41541290283203,,
2010-03-24,38.220184326171875,106.42444610595703,17.15338897705078,54.813079833984375,,
2010-03-25,38.78781509399414,106.79397583007812,17.127199172973633,54.813079833984375,,
2010-03-26,39.103172302246094,108.2720947265625,17.101011276245117,54.00994873046875,,
2010-03-29,39.22930908203125,107.90254974365234,17.179574966430664,55.214630126953125,,
2010-03-30,39.22930908203125,106.42444610595703,17.20576286315918,55.61619567871094,,
2010-03-31,38.78781509399414,106.42444610595703,17.20576286315918,55.214630126953125,,
2010-04-01,39.166236877441406,113.81501770019531,17.389081954956055,56.21853256225586,,
2010-04-02,39.355430603027344,117.14078521728516,17.493837356567383,56.01774978637695,,
2010-04-06,39.98613739013672,117.51029968261719,17.755722045898438,57.624000549316406,,
2010-04-07,40.04920959472656,115.66266632080078,17.755722045898438,58.02555465698242,,
2010-04-08,39.2923698425293,113.44550323486328,17.8080997467041,57.22243881225586,,
2010-04-09,39.54465866088867,114.1845474243164,17.860475540161133,58.02555465698242,,
2010-04-12,39.79692840576172,113.81501770019531,18.200923919677734,58.02555465698242,,
2010-04-13,39.67079544067383,110.85877990722656,18.17473602294922,56.6201057434082,,
2010-04-14,40.23841857910156,113.44550323486328,18.200923919677734,57.02166748046875,,
2010-04-15,40.61682891845703,112.33689880371094,18.30567741394043,57.624000549316406,,
2010-04-16,39.733863830566406,112.33689880371094,18.27948760986328,56.6201057434082,,
